x,y
-0.625301618,-0.170063657
0.960695033,0.590900597
-0.598543385,-0.402593393
-2.228059377,-0.53257674
-0.46143006,-0.498867244
-0.958929028,-0.269331024
-0.673079909,-0.338308547
1.305018612,0.591357846
0.374545597,-0.098544205
-1.826286266,-0.406170254
0.668262284,0.336877396
-0.582646676,-0.177369217
-0.418128976,-0.373811389
0.172209371,0.264668836
0.377116687,0.188442969
-0.67939623,-0.131601978
1.031489599,0.425550018
0.336041799,0.039098272
0.705745985,0.488730649
0.839511547,0.152125872
1.498828981,0.471380809
0.288356638,0.033133471
-0.502935011,-0.368665426
1.479210669,0.740445724
-0.444382429,-0.165019364
-0.533464228,-0.060222191
-0.616229422,-0.211783922
0.074659897,-0.061432108
-0.113637011,0.073287768
-0.02007173,0.060974459
0.189582967,0.199769369
0.938466103,0.541731132
-0.366697989,-0.036497138
-0.893528486,-0.372814013
-1.317595707,-0.357581073
-0.381802782,-0.201252465
-0.513790216,-0.505974086
0.903737934,0.24951826
-0.438875079,-0.15064813
-0.594170907,-0.094122411
-0.312943931,-0.000657313
-0.300229089,-0.422050272
-0.59923932,-0.26039818
0.220370036,0.203914415
0.525164844,0.187026363
0.556625011,-0.133745094
1.354281572,0.547397422
-0.683159806,-0.394693187
-0.123325109,-0.104266539
-0.313175458,-0.069830662
-2.488382767,-0.844571249
1.249965859,0.585738115
0.176764431,0.110730208
-0.507808538,-0.3157463
1.827385016,0.620232502
0.81015674,0.177171194
0.428494398,0.129892407
-0.068112471,-0.183414149
-0.238085712,0.032028305
-0.576511311,-0.461119558
0.786579791,0.240420951
-0.394028364,-0.113238995
0.300281016,0.04058301
0.834354492,0.363411695
0.677025394,0.086218059
0.822858785,0.079526287
1.110602259,0.083844721
-1.110563198,-0.221851614
-3.26E-05,0.252586287
0.901346004,0.466550032
0.613325282,0.229429972
1.002803213,0.26763697
-0.500300647,-0.265194678
-1.468390797,-0.262591632
-1.165592104,-0.435658777
1.232905714,0.37264494
-0.087137417,-0.076820536
1.326117309,0.423305575
-0.655945864,-0.236422799
-0.398868969,-0.132296178
0.146537233,0.02887145
0.834743614,0.278631269
0.126455201,0.018389443
0.201707556,0.063843502
-0.26777572,0.004920115
0.285085062,0.053612803
-0.753418549,-0.337531319
0.529313417,0.024596083
0.365577719,-0.056271781
0.036282235,-0.017158714
0.198139998,0.148806454
-0.756673772,-0.205864228
0.115733262,-0.025501092
-0.181944537,-0.089893337
0.157198306,0.126124661
0.58347037,0.237266716
-0.946770213,-0.28892709
0.713140353,0.177219645
1.301571873,0.624502445
-0.54906371,-0.444638605
-0.429728257,-0.250941856
-0.386766308,-0.266159401
-0.657643258,-0.084505563
1.239614148,0.490659512
0.318446596,0.00412165
-0.898118949,-0.210137581
0.336881319,0.187961004
-0.418452911,-0.181336717
0.236601159,0.339487039
0.351319728,0.092328216
1.353239425,0.419970027
-0.834819518,-0.200044213
2.329386001,0.916366922
0.046717443,0.249148699
0.455373238,0.197896476
-0.710684919,-0.015660739
-0.055009516,-0.219243382
-0.454554511,-0.262307969
-0.108213611,-0.04111319
-0.897552407,-0.241129284
0.734802491,0.085607761
0.225266501,-0.249531175
-0.32743824,0.187561024
1.204225484,0.289208121
0.170331974,-0.213212414
1.000079303,0.360626507
-0.671516563,-0.072074764
1.192216156,0.349379904
0.240174205,0.132451266
0.556592389,0.339247336
-1.231139089,-0.301572247
0.152659926,-0.032224333
1.376117955,0.438905019
-0.705213114,-0.186923986
-1.250354153,-0.615852747
-1.876510108,-0.587438869
-1.471056898,-0.757686938
-1.503464468,-0.639175291
-0.374317472,-0.124473266
0.878524826,0.386529047
0.043796065,-0.133600937
0.545982844,0.097898685
0.141569127,-0.033193453
0.063582449,0.002600374
-0.088704621,-0.050843087
0.132411808,-0.052589664
0.429143144,0.13945152
-0.562450166,-0.3554598
0.598293829,0.305358879
-0.352669474,0.277872905
0.292708138,-0.058853372
1.492163247,0.243746801
-0.321136884,-0.211988784
-0.428741839,-0.162431474
0.055660218,0.047228046
-0.18666908,-0.057523629
-0.31597689,-0.135666133
-0.952287292,-0.203431276
-0.617216871,-0.168607956
0.260724124,0.283827268
-1.296068723,-0.587501508
0.130204436,0.1065366
0.036202692,-0.071425952
0.451406829,0.220021746
0.782343617,0.155836343
-1.915279395,-0.841226381
1.334705266,0.177008275
-0.557241554,0.09782177
-0.254030157,0.006535857
0.038342641,-0.141592253
1.669006819,0.258263884
-0.401201302,-0.124900651
1.339802976,0.554699895
0.312160775,0.170605436
2.095176834,0.646487345
-0.68565308,-0.237525375
-0.981232159,-0.530795733
0.381516151,0.216067601
0.083538618,0.257654664
0.156227043,0.010726371
-0.898591326,-0.465169769
0.216673778,-0.135265391
0.399091276,0.186824524
-0.390120284,-0.055753113
0.151136791,-0.035001734
-0.025994728,-0.053019427
-0.555678088,-0.282320719
-0.414437203,-0.161157769
-0.543696094,-0.431161457
1.427591447,0.53455414
0.451861867,-0.143502859
0.807369404,0.144524192
-0.461251208,-0.308874028
-0.106359448,0.240025629
-1.098103339,-0.566248687
0.838408546,0.278380007
0.31270831,-0.010600123
1.955875852,0.638224114
-1.108303521,-0.395053658
0.398647206,0.023186553
